date,AAPL,AMAT,AMD,CSCO,IBM,INTC,MSFT,MU,NVDA,ORCL,WDC
1985-07-15,19420800.0,3430400.0,957200.0,,6230800.0,26620800.0,,556000.0,,,79600.0
1985-07-16,35840000.0,1676800.0,1219200.0,,6405200.0,23443200.0,,854000.0,,,348800.0
1985-07-17,29545600.0,5952000.0,2090200.0,,7542400.0,96259200.0,,3229000.0,,,691400.0
1985-07-18,44766400.0,2240000.0,1115600.0,,6918400.0,49996800.0,,939000.0,,,82200.0
1985-07-19,28728000.0,2009600.0,1179600.0,,5556400.0,32620800.0,,715000.0,,,93200.0
1985-07-22,48076000.0,5312000.0,977200.0,,4302400.0,26678400.0,,1264000.0,,,103200.0
1985-07-23,42173600.0,5811200.0,2192000.0,,7519200.0,92908800.0,,764000.0,,,275200.0
1985-07-24,42179200.0,870400.0,817200.0,,5861200.0,30057600.0,,1127000.0,,,41000.0
1985-07-25,78769600.0,4684800.0,750800.0,,6155200.0,27480000.0,,871000.0,,,46000.0
1985-07-26,32631200.0,4851200.0,886000.0,,5682000.0,28838400.0,,366000.0,,,57800.0
1985-07-29,19437600.0,11827200.0,544600.0,,4069200.0,35112000.0,,450000.0,,,123400.0
1985-07-30,22366400.0,3366400.0,849600.0,,4559200.0,32337600.0,,585000.0,,,145800.0
1985-07-31,20126400.0,4505600.0,736600.0,,5532000.0,34041600.0,,1524000.0,,,166000.0
1985-08-01,12891200.0,8345600.0,916000.0,,5443600.0,47001600.0,,893000.0,,,193400.0
1985-08-02,24354400.0,1676800.0,591000.0,,2667200.0,26736000.0,,1400000.0,,,114800.0
1985-08-05,23083200.0,6003200.0,535200.0,,2681600.0,23304000.0,,1034000.0,,,309400.0
1985-08-06,15769600.0,2764800.0,907800.0,,4301600.0,22704000.0,,1231000.0,,,49000.0
1985-08-07,37934400.0,4313600.0,492000.0,,3817200.0,17524800.0,,808000.0,,,54800.0
1985-08-08,36943200.0,256000.0,614600.0,,4469200.0,36638400.0,,994000.0,,,115000.0
1985-08-09,15237600.0,1024000.0,693800.0,,2764000.0,10248000.0,,401000.0,,,15800.0
1985-08-12,13748000.0,4019200.0,1443800.0,,3920400.0,16809600.0,,195000.0,,,53600.0
1985-08-13,10595200.0,4172800.0,454400.0,,2983200.0,22843200.0,,1041000.0,,,68200.0
1985-08-14,72475200.0,1625600.0,540200.0,,2174800.0,18268800.0,,299000.0,,,187400.0
1985-08-15,26297600.0,2393600.0,297800.0,,2894000.0,26217600.0,,400000.0,,,123000.0
1985-08-16,20938400.0,1472000.0,229600.0,,3217600.0,16041600.0,,771000.0,,,172200.0
1985-08-19,11967200.0,7628800.0,287200.0,,2046000.0,28132800.0,,346000.0,,,11400.0
1985-08-20,16738400.0,5017600.0,795600.0,,3700800.0,30436800.0,,1155000.0,,,37800.0
1985-08-21,19252800.0,1241600.0,496800.0,,2836000.0,11587200.0,,1662000.0,,,35800.0
1985-08-22,30828000.0,6912000.0,462800.0,,3159600.0,15897600.0,,1196000.0,,,53000.0
1985-08-23,11004000.0,4249600.0,355200.0,,2554000.0,12945600.0,,894000.0,,,59800.0
1985-08-26,8915200.0,3648000.0,642800.0,,2447600.0,12537600.0,,539000.0,,,40400.0
1985-08-27,10729600.0,2406400.0,551600.0,,3147200.0,6216000.0,,769000.0,,,27400.0
1985-08-28,10236800.0,268800.0,515400.0,,2384000.0,8827200.0,,1026000.0,,,369400.0
1985-08-29,14028000.0,217600.0,405600.0,,2020400.0,9628800.0,,1209000.0,,,261000.0
1985-08-30,10718400.0,576000.0,295600.0,,2500400.0,8856000.0,,362000.0,,,432000.0
