Ticker,Date,Close Price,Market Cap,Volume
XRX,09/30/1999,77.8839," 27,790.3 "," 17,175,725 "
XRX,10/29/1999,52.6964," 18,803.0 "," 55,201,025 "
XRX,11/30/1999,50.8393," 18,184.2 "," 33,073,750 "
XRX,12/31/1999,42.4440," 15,070.4 "," 53,977,250 "
XRX,01/31/2000,39.0532," 13,866.5 "," 26,688,075 "
XRX,02/29/2000,40.6901," 14,447.7 "," 23,280,125 "
XRX,03/31/2000,49.0925," 17,270.8 "," 41,073,850 "
XRX,04/28/2000,50.0366," 17,602.9 "," 20,468,225 "
XRX,05/31/2000,51.6025," 18,072.5 "," 18,454,450 "
XRX,06/30/2000,39.4747," 13,825.0 "," 27,686,825 "
XRX,07/31/2000,28.6549," 10,035.6 "," 29,138,025 "
XRX,08/31/2000,31.2713," 10,834.7 "," 24,652,325 "
XRX,09/29/2000,28.8658," 10,001.3 "," 27,723,550 "
XRX,10/31/2000,16.2370," 5,625.7 "," 70,500,950 "
XRX,11/30/2000,13.4456," 4,630.4 "," 29,287,575 "
XRX,12/29/2000,8.9638," 3,086.9 "," 56,625,900 "
XRX,01/31/2001,15.8344," 5,453.0 "," 32,282,750 "
XRX,02/28/2001,11.8034," 4,031.4 "," 15,165,225 "
XRX,03/30/2001,11.7057," 3,998.0 "," 21,957,075 "
XRX,04/30/2001,17.6660," 6,033.7 "," 25,506,500 "
XRX,05/31/2001,19.3662," 6,614.4 "," 22,781,425 "
XRX,06/29/2001,18.7018," 6,657.3 "," 24,318,225 "
XRX,07/31/2001,15.5946," 5,708.7 "," 15,630,150 "
XRX,08/31/2001,17.9787," 6,596.3 "," 16,515,625 "
XRX,09/28/2001,15.1451," 5,556.7 "," 13,193,625 "
XRX,10/31/2001,13.6795," 5,018.9 "," 16,957,100 "
XRX,11/30/2001,16.4153," 6,047.9 "," 53,886,425 "
XRX,12/31/2001,20.3628," 7,502.3 "," 26,654,825 "
XRX,01/31/2002,22.1412," 8,157.5 "," 35,402,600 "
XRX,02/28/2002,18.9754," 6,991.1 "," 22,048,800 "
XRX,03/28/2002,21.0077," 7,739.9 "," 19,612,025 "
XRX,04/30/2002,17.2947," 6,389.7 "," 32,933,125 "
XRX,05/31/2002,17.5292," 6,476.3 "," 28,486,725 "
XRX,06/28/2002,13.6208," 5,067.5 "," 30,379,200 "
XRX,07/31/2002,13.5817," 5,089.2 "," 36,923,050 "
XRX,08/30/2002,13.6990," 5,118.3 "," 15,266,150 "
XRX,09/30/2002,9.6733," 3,614.2 "," 19,946,275 "
XRX,10/31/2002,12.9759," 4,848.1 "," 29,052,200 "
XRX,11/29/2002,17.0407," 6,411.8 "," 21,712,525 "
XRX,12/31/2002,15.7314," 5,919.2 "," 16,354,175 "
XRX,01/31/2003,17.2947," 6,533.7 "," 28,657,675 "
XRX,02/28/2003,17.5879," 6,644.5 "," 17,269,725 "
XRX,03/31/2003,17.0016," 6,440.8 "," 17,237,075 "
XRX,04/30/2003,19.2685," 7,311.9 "," 23,710,625 "
XRX,05/30/2003,21.3595," 8,105.4 "," 16,833,400 "
XRX,06/30/2003,20.6951," 8,293.9 "," 48,856,950 "
XRX,07/31/2003,21.1054," 8,528.4 "," 28,005,100 "
XRX,08/29/2003,21.0664," 8,524.8 "," 24,619,100 "
XRX,09/30/2003,20.0502," 8,113.6 "," 23,626,900 "
XRX,10/31/2003,20.5192," 8,303.4 "," 28,409,675 "
XRX,11/28/2003,23.8023," 9,644.8 "," 31,866,283 "
XRX,12/31/2003,26.9681," 10,927.6 "," 36,466,975 "
XRX,01/30/2004,28.6096," 11,592.8 "," 30,773,600 "
XRX,02/27/2004,27.6325," 11,279.6 "," 26,499,975 "
XRX,03/31/2004,28.4728," 11,622.6 "," 24,455,200 "
XRX,04/30/2004,26.2450," 10,713.2 "," 29,465,875 "
XRX,05/28/2004,26.4600," 10,835.3 "," 21,051,175 "
XRX,06/30/2004,28.3360," 11,603.5 "," 18,551,925 "
XRX,07/30/2004,27.0853," 11,091.4 "," 15,258,225 "
XRX,08/31/2004,26.2450," 11,269.2 "," 15,145,525 "
XRX,09/30/2004,27.5153," 11,814.6 "," 18,534,925 "
XRX,10/29/2004,28.8637," 12,393.6 "," 13,984,875 "
XRX,11/30/2004,29.9385," 12,871.5 "," 26,636,600 "
XRX,12/31/2004,33.2411," 16,220.6 "," 26,252,125 "
XRX,01/31/2005,31.0328," 15,143.0 "," 16,671,425 "
XRX,02/28/2005,30.4856," 14,935.0 "," 15,973,150 "
XRX,03/31/2005,29.6063," 14,504.2 "," 19,761,350 "
XRX,04/29/2005,25.8933," 12,685.2 "," 17,506,850 "
XRX,05/31/2005,26.5186," 13,002.6 "," 18,102,425 "
XRX,06/30/2005,26.9485," 13,213.4 "," 25,171,100 "
XRX,07/29/2005,25.8151," 12,674.7 "," 24,429,000 "
XRX,08/31/2005,26.2059," 12,866.6 "," 24,113,125 "
XRX,09/30/2005,26.6749," 13,096.9 "," 26,008,600 "
XRX,10/31/2005,26.5186," 13,020.1 "," 30,028,425 "
XRX,11/30/2005,27.7498," 13,624.6 "," 24,191,300 "
XRX,12/30/2005,28.6292," 14,056.3 "," 17,020,400 "
XRX,01/31/2006,27.9647," 13,730.1 "," 22,258,600 "
XRX,02/28/2006,29.1177," 13,876.5 "," 18,472,850 "
XRX,03/31/2006,29.7040," 14,155.9 "," 24,903,675 "
XRX,04/28/2006,27.4371," 13,075.6 "," 19,782,150 "
XRX,05/31/2006,26.8313," 12,608.0 "," 25,411,525 "
XRX,06/30/2006,27.1830," 12,773.3 "," 19,971,975 "
XRX,07/31/2006,27.5348," 13,053.2 "," 22,079,475 "
XRX,08/31/2006,28.9418," 13,720.2 "," 21,003,525 "
XRX,09/29/2006,30.4075," 14,415.0 "," 17,172,500 "
XRX,10/31/2006,33.2215," 16,409.7 "," 23,589,925 "
XRX,11/30/2006,32.2444," 15,927.1 "," 22,239,200 "
XRX,12/29/2006,33.1238," 16,361.5 "," 15,758,800 "
XRX,01/31/2007,33.6124," 16,602.8 "," 20,530,125 "
XRX,02/28/2007,33.7492," 16,381.9 "," 21,288,178 "
XRX,03/30/2007,33.0066," 16,021.4 "," 21,547,847 "
