date,manager,profit,flow,equity_sod,roe
1/8/2016,PAR,-25297327.78,0,4513799594,-0.005604
1/11/2016,PAR,-20020860.78,0,4488502266,-0.00446
1/12/2016,PAR,-10122922.18,0,4468481405,-0.002265
1/13/2016,PAR,-122721451,0,4458358483,-0.027526
1/14/2016,PAR,48171996.98,0,4335637032,0.011111
1/15/2016,PAR,-81867156.45,0,4383809029,-0.018675
1/19/2016,PAR,1862779.1,0,4301941873,0.000433
1/20/2016,PAR,-30149404.52,0,4303804652,-0.007005
1/21/2016,PAR,26446596.8,0,4273655247,0.006188
1/22/2016,PAR,72606138.11,0,4300101844,0.016885
1/25/2016,PAR,-59550682.87,0,4372707982,-0.013619
1/26/2016,PAR,44052172.54,0,4313157299,0.010213
1/27/2016,PAR,-19204686.77,0,4357209472,-0.004408
1/28/2016,PAR,-30373447.36,0,4338004785,-0.007002
1/29/2016,PAR,97513226.26,0,4307631338,0.022637
2/1/2016,PAR,-5843494.57,75000000,4480144564,-0.001304
2/2/2016,PAR,-104237441.1,0,4474301069,-0.023297
2/3/2016,PAR,-7289995.51,0,4370063628,-0.001668
2/4/2016,PAR,60306439.03,0,4362773633,0.013823
2/5/2016,PAR,-128054584,0,4423080072,-0.028951
2/8/2016,PAR,-109461463.1,0,4295025488,-0.025486
2/9/2016,PAR,450833.27,0,4185564025,0.000108
2/10/2016,PAR,38423301.47,0,4186014858,0.009179
2/11/2016,PAR,-13475204.31,0,4224438160,-0.00319
2/12/2016,PAR,66381040.46,0,4210962955,0.015764
2/16/2016,PAR,66090169.71,0,4277343996,0.015451
2/17/2016,PAR,102468170.2,0,4343434165,0.023592
2/18/2016,PAR,-12498255.06,0,4445902336,-0.002811
2/19/2016,PAR,21310946.91,0,4433404081,0.004807
2/22/2016,PAR,65177093.44,0,4454715027,0.014631
2/23/2016,PAR,-54594529.12,0,4519892121,-0.012079
2/24/2016,PAR,24394561.68,0,4465297592,0.005463
2/25/2016,PAR,44554225.97,0,4489692153,0.009924
2/26/2016,PAR,37091820.46,0,4534246379,0.00818
2/29/2016,PAR,-1458664.01,0,4571338200,-0.000319
3/1/2016,PAR,75752635.36,0,4569879536,0.016577
3/2/2016,PAR,2735553.93,0,4645632171,0.000589
3/3/2016,PAR,29284580,0,4648367725,0.0063
3/4/2016,PAR,9868342.49,0,4677652305,0.00211
3/7/2016,PAR,20261907.97,0,4687520648,0.004323
3/8/2016,PAR,-70299540.67,0,4707782556,-0.014933
3/9/2016,PAR,43194243.79,0,4637483015,0.009314
3/10/2016,PAR,-17586615.02,0,4680677259,-0.003757
3/11/2016,PAR,92530653.92,0,4663090644,0.019843
3/14/2016,PAR,14044287.09,0,4755621298,0.002953
3/15/2016,PAR,-57123201.01,0,4769665585,-0.011976
3/16/2016,PAR,-6513897.68,0,4712542384,-0.001382
3/17/2016,PAR,-9012908.33,0,4706028486,-0.001915
3/18/2016,PAR,68070954.07,0,4697015578,0.014492
3/21/2016,PAR,17627955.54,0,4765086532,0.003699
3/22/2016,PAR,-16687513.64,0,4782714487,-0.003489
3/23/2016,PAR,-59964040.85,0,4766026974,-0.012582
3/24/2016,PAR,-23004547.48,0,4706062933,-0.004888
3/28/2016,PAR,-1300939.81,0,4683058385,-0.000278
3/29/2016,PAR,70991736.98,0,4681757446,0.015163
3/30/2016,PAR,24992533.65,0,4752749183,0.005259
3/31/2016,PAR,31195555.9,0,4777741716,0.006529
4/1/2016,PAR,-44447673.94,0,4808937272,-0.009243
4/4/2016,PAR,-16446178.7,0,4764489598,-0.003452
4/5/2016,PAR,-50565318.46,0,4748043419,-0.01065
4/6/2016,PAR,35886591.74,0,4697478101,0.00764
4/7/2016,PAR,-50353475.95,0,4733364693,-0.010638
4/8/2016,PAR,26752986.83,0,4683011217,0.005713
4/11/2016,PAR,5282567.22,0,4709764204,0.001122
4/12/2016,PAR,54152409.05,0,4715046771,0.011485
4/13/2016,PAR,77085192.11,0,4769199180,0.016163
4/14/2016,PAR,20584777.63,0,4846284372,0.004248
4/15/2016,PAR,6941806.56,0,4866869150,0.001426
4/18/2016,PAR,5552918.77,0,4873810956,0.001139
4/19/2016,PAR,3096282.25,0,4879363875,0.000635
4/20/2016,PAR,25506455.67,0,4882460157,0.005224
4/21/2016,PAR,-58906510.34,0,4907966613,-0.012002
4/22/2016,PAR,-10925427.99,0,4849060103,-0.002253
4/25/2016,PAR,-39023603.51,0,4838134675,-0.008066
